trip_id,arrival_time,departure_time,stop_id,stop_sequence
EC010-d9ecbd73,06:35:00,06:35:00,S01700,1
EC010-d9ecbd73,07:50:00,07:50:00,S01301,2
EC012-6257b322,07:35:00,07:35:00,S01700,1
EC012-6257b322,08:50:00,08:50:00,S01301,2
EC014-7dc635de,08:35:00,08:35:00,S01700,1
EC014-7dc635de,09:50:00,09:50:00,S01301,2
EC015-dc50111f,14:10:00,14:10:00,S01301,1
EC015-dc50111f,15:25:00,15:25:00,S01700,2
EC018-6031b577,14:35:00,14:35:00,S01700,1
EC018-6031b577,15:50:00,15:50:00,S01301,2
EC021-dc5e828e,20:10:00,20:10:00,S01301,1
EC021-dc5e828e,21:25:00,21:25:00,S01700,2
EC023-6c7cefe1,22:10:00,22:10:00,S01301,1
EC023-6c7cefe1,23:25:00,23:25:00,S01700,2
EC036-16fdd6a4,15:35:00,15:35:00,S01700,1
EC036-16fdd6a4,16:50:00,16:50:00,S01301,2
EC037-15f4bf53,13:10:00,13:10:00,S01301,1
EC037-15f4bf53,14:25:00,14:25:00,S01700,2
EC040-db747122,07:00:00,07:00:00,S01700,1
EC040-db747122,09:20:00,09:20:00,S01003,2
EC041-7f04a190,08:30:00,08:30:00,S01003,1
EC041-7f04a190,10:50:00,10:50:00,S01700,2
EC045-ef1559df,16:30:00,16:30:00,S01003,1
EC045-ef1559df,18:50:00,18:50:00,S01700,2
EC046-245755b0,18:00:00,18:00:00,S01700,1
EC046-245755b0,20:20:00,20:20:00,S01003,2
EC060-9646d7b7,06:00:00,06:00:00,S01700,1
EC060-9646d7b7,08:20:00,08:20:00,S01003,2
EC061-f5b4bbf5,09:30:00,09:30:00,S01003,1
EC061-f5b4bbf5,11:50:00,11:50:00,S01700,2
EC062-89bf5207,10:00:00,10:00:00,S01700,1
EC062-89bf5207,12:20:00,12:20:00,S01003,2
EC063-fdd19527,13:30:00,13:30:00,S01003,1
EC063-fdd19527,15:50:00,15:50:00,S01700,2
EC064-89c098cb,14:00:00,14:00:00,S01700,1
EC064-89c098cb,16:20:00,16:20:00,S01003,2
EC065-35fc0f3a,15:30:00,15:30:00,S01003,1
EC065-35fc0f3a,17:50:00,17:50:00,S01700,2
EC066-140f59d5,17:00:00,17:00:00,S01700,1
EC066-140f59d5,19:20:00,19:20:00,S01003,2
EC067-acef8407,20:30:00,20:30:00,S01003,1
EC067-acef8407,22:50:00,22:50:00,S01700,2
EC111-8cdbc40d,10:10:00,10:10:00,S01301,1
EC111-8cdbc40d,11:25:00,11:25:00,S01700,2
EC112-5c7d2f8e,17:25:00,17:25:00,S01700,1
EC112-5c7d2f8e,18:40:00,18:40:00,S01301,2
EC113-b6d970a7,12:10:00,12:10:00,S01301,1
EC113-b6d970a7,13:25:00,13:25:00,S01700,2
EC116-86f612a4,12:35:00,12:35:00,S01700,1
EC116-86f612a4,13:50:00,13:50:00,S01301,2
EC117-a62fbe03,16:10:00,16:10:00,S01301,1
EC117-a62fbe03,17:25:00,17:25:00,S01700,2
EC119-1133731f,18:10:00,18:10:00,S01301,1
EC119-1133731f,19:25:00,19:25:00,S01700,2
EC120-4bd341f6,16:35:00,16:35:00,S01700,1
EC120-4bd341f6,17:50:00,17:50:00,S01301,2
EC122-f9314fff,18:35:00,18:35:00,S01700,1
EC122-f9314fff,19:50:00,19:50:00,S01301,2
EC132-1fac0a70,14:05:00,14:05:00,S01700,1
EC135-4fc1772f,21:25:00,21:25:00,S01700,1
EC136-752d7d48,08:15:00,08:15:00,S01700,1
EC137-ec73a128,13:35:00,13:35:00,S01700,1
EC151-807296e1,15:10:00,15:10:00,S01301,1
EC151-807296e1,16:25:00,16:25:00,S01700,2
EC155-a0c199a3,09:10:00,09:10:00,S01301,1
EC155-a0c199a3,10:25:00,10:25:00,S01700,2
EC156-49a2cf53,19:35:00,19:35:00,S01700,1
EC156-49a2cf53,20:50:00,20:50:00,S01301,2
EC173-aa6705ef,18:55:00,18:55:00,S01301,1
EC173-aa6705ef,20:10:00,20:10:00,S01700,2
EC178-364c46af,09:50:00,09:50:00,S01700,1
EC178-364c46af,11:05:00,11:05:00,S01301,2
EC213-b6da468c,11:10:00,11:10:00,S01301,1
EC213-b6da468c,12:25:00,12:25:00,S01700,2
EC250-bfbb0856,10:35:00,10:35:00,S01700,1
EC250-bfbb0856,11:50:00,11:50:00,S01301,2
GEM01-5f75e112,06:26:00,06:26:00,S01700,1
GEM01-5f75e112,06:42:00,06:42:00,S01701,2
GEM01-5f75e112,07:00:00,07:00:00,S01820,3
GEM01-5f75e112,08:06:00,08:06:00,S01807,4
GEM02-6caadd7a,13:38:00,13:38:00,S01807,1
GEM02-6caadd7a,14:44:00,14:44:00,S01820,2
GEM02-6caadd7a,15:02:00,15:02:00,S01701,3
GEM02-6caadd7a,15:18:00,15:18:00,S01700,4
GEM03-ff0ecaa2,07:50:00,07:50:00,S01700,1
GEM03-ff0ecaa2,08:06:00,08:06:00,S01701,2
GEM03-ff0ecaa2,08:24:00,08:24:00,S01820,3
GEM03-ff0ecaa2,09:30:00,09:30:00,S01807,4
GEM04-c737e003,17:38:00,17:38:00,S01807,1
GEM04-c737e003,18:44:00,18:44:00,S01820,2
GEM04-c737e003,19:02:00,19:02:00,S01701,3
GEM04-c737e003,19:18:00,19:18:00,S01700,4
GEM05-487bbc9f,08:07:00,08:07:00,S01700,1
GEM05-487bbc9f,08:23:00,08:23:00,S01701,2
GEM05-487bbc9f,08:41:00,08:41:00,S01820,3
GEM05-487bbc9f,09:47:00,09:47:00,S01807,4
GEM06-98555bf8,20:38:00,20:38:00,S01807,1
GEM06-98555bf8,21:44:00,21:44:00,S01820,2
GEM06-98555bf8,22:02:00,22:02:00,S01701,3
GEM06-98555bf8,22:18:00,22:18:00,S01700,4
GEM08-60d7025b,21:24:00,21:24:00,S01807,1
GEM08-60d7025b,22:30:00,22:30:00,S01820,2
GEM08-60d7025b,22:48:00,22:48:00,S01701,3
GEM08-60d7025b,23:04:00,23:04:00,S01700,4
GEM10-ad1ae50d,21:43:00,21:43:00,S01807,1
GEM10-ad1ae50d,22:31:00,22:31:00,S01860,2
GEM10-ad1ae50d,23:14:00,23:14:00,S01820,3
GEM10-ad1ae50d,23:32:00,23:32:00,S01701,4
GEM10-ad1ae50d,23:48:00,23:48:00,S01700,5
GEM11-357fcac0,07:11:00,07:11:00,S01700,1
GEM11-357fcac0,07:27:00,07:27:00,S01701,2
GEM11-357fcac0,07:45:00,07:45:00,S01820,3
GEM11-357fcac0,08:52:00,08:52:00,S01807,4
GEM12-e2b3a040,22:53:00,22:53:00,S01807,1
GEM12-e2b3a040,23:59:00,23:59:00,S01820,2
GEM12-e2b3a040,24:17:00,24:17:00,S01701,3
GEM12-e2b3a040,24:33:00,24:33:00,S01700,4
GEM14-7961ebd3,21:11:00,21:11:00,S01807,1
GEM14-7961ebd3,22:17:00,22:17:00,S01820,2
GEM14-7961ebd3,22:35:00,22:35:00,S01701,3
GEM14-7961ebd3,22:51:00,22:51:00,S01700,4
GEMP6-b6cebd38,20:38:00,20:38:00,S01807,1
GEMP6-b6cebd38,21:44:00,21:44:00,S01820,2
GEMP6-b6cebd38,22:02:00,22:02:00,S01701,3
GEMP6-b6cebd38,22:18:00,22:18:00,S01700,4
GEP03-f1c75e2a,08:28:00,08:28:00,S01860,1
GEP03-f1c75e2a,09:16:00,09:16:00,S01807,2
GEP07-b2d8b577,15:28:00,15:28:00,S01860,1
GEP07-b2d8b577,16:16:00,16:16:00,S01807,2
GEP09-2fc1fe77,19:28:00,19:28:00,S01860,1
GEP09-2fc1fe77,20:16:00,20:16:00,S01807,2
GEP10-cbe68ac9,16:12:00,16:12:00,S04207,1
GEP10-cbe68ac9,16:42:00,16:42:00,S01810,2
GEP10-cbe68ac9,17:10:00,17:10:00,S01807,3
GEP11-822685f4,19:21:00,19:21:00,S01807,1
GEP11-822685f4,19:49:00,19:49:00,S01810,2
GEP11-822685f4,20:19:00,20:19:00,S04207,3
GEP13-8bb8d74e,20:56:00,20:56:00,S01807,1
GEP13-8bb8d74e,21:24:00,21:24:00,S01810,2
GEP13-8bb8d74e,21:54:00,21:54:00,S04207,3
GEP14-da57d4d3,20:27:00,20:27:00,S04207,1
GEP14-da57d4d3,20:57:00,20:57:00,S01810,2
GEP14-da57d4d3,21:25:00,21:25:00,S01807,3
GEPO3-6280c26b,07:50:00,07:50:00,S01700,1
GEPO3-6280c26b,08:06:00,08:06:00,S01701,2
GEPO3-6280c26b,08:26:00,08:26:00,S01820,3
GEPO3-6280c26b,09:30:00,09:30:00,S01807,4
GEPO7-45ee76e1,14:36:00,14:36:00,S01700,1
GEPO7-45ee76e1,14:52:00,14:52:00,S01701,2
GEPO7-45ee76e1,15:10:00,15:10:00,S01820,3
GEPO7-45ee76e1,16:16:00,16:16:00,S01807,4
GEPO9-5ac68c61,18:36:00,18:36:00,S01700,1
GEPO9-5ac68c61,18:52:00,18:52:00,S01701,2
GEPO9-5ac68c61,19:10:00,19:10:00,S01820,3
GEPO9-5ac68c61,20:16:00,20:16:00,S01807,4
GEVO1-36d41d51,07:01:00,07:01:00,S01807,1
GEVO1-36d41d51,07:29:00,07:29:00,S01810,2
