trip_id,route_id,trip_short_name,service_id
EC010-d9ecbd73,Trenord,EC010,EC010-d9ecbd73
EC012-6257b322,Trenord,EC012,EC012-6257b322
EC014-7dc635de,Trenord,EC014,EC014-7dc635de
EC015-dc50111f,Trenord,EC015,EC015-dc50111f
EC018-6031b577,Trenord,EC018,EC018-6031b577
EC021-dc5e828e,Trenord,EC021,EC021-dc5e828e
EC023-6c7cefe1,Trenord,EC023,EC023-6c7cefe1
EC036-16fdd6a4,Trenord,EC036,EC036-16fdd6a4
EC037-15f4bf53,Trenord,EC037,EC037-15f4bf53
EC040-db747122,Trenord,EC040,EC040-db747122
EC041-7f04a190,Trenord,EC041,EC041-7f04a190
EC045-ef1559df,Trenord,EC045,EC045-ef1559df
EC046-245755b0,Trenord,EC046,EC046-245755b0
EC060-9646d7b7,Trenord,EC060,EC060-9646d7b7
EC061-f5b4bbf5,Trenord,EC061,EC061-f5b4bbf5
EC062-89bf5207,Trenord,EC062,EC062-89bf5207
EC063-fdd19527,Trenord,EC063,EC063-fdd19527
EC064-89c098cb,Trenord,EC064,EC064-89c098cb
EC065-35fc0f3a,Trenord,EC065,EC065-35fc0f3a
EC066-140f59d5,Trenord,EC066,EC066-140f59d5
EC067-acef8407,Trenord,EC067,EC067-acef8407
EC111-8cdbc40d,Trenord,EC111,EC111-8cdbc40d
EC112-5c7d2f8e,Trenord,EC112,EC112-5c7d2f8e
EC113-b6d970a7,Trenord,EC113,EC113-b6d970a7
EC116-86f612a4,Trenord,EC116,EC116-86f612a4
EC117-a62fbe03,Trenord,EC117,EC117-a62fbe03
EC119-1133731f,Trenord,EC119,EC119-1133731f
EC120-4bd341f6,Trenord,EC120,EC120-4bd341f6
EC122-f9314fff,Trenord,EC122,EC122-f9314fff
EC132-1fac0a70,Trenord,EC132,EC132-1fac0a70
EC135-4fc1772f,Trenord,EC135,EC135-4fc1772f
EC136-752d7d48,Trenord,EC136,EC136-752d7d48
EC137-ec73a128,Trenord,EC137,EC137-ec73a128
EC151-807296e1,Trenord,EC151,EC151-807296e1
EC155-a0c199a3,Trenord,EC155,EC155-a0c199a3
EC156-49a2cf53,Trenord,EC156,EC156-49a2cf53
EC173-aa6705ef,Trenord,EC173,EC173-aa6705ef
EC178-364c46af,Trenord,EC178,EC178-364c46af
EC213-b6da468c,Trenord,EC213,EC213-b6da468c
EC250-bfbb0856,Trenord,EC250,EC250-bfbb0856
GEM01-5f75e112,Trenord,GEM01,GEM01-5f75e112
GEM02-6caadd7a,Trenord,GEM02,GEM02-6caadd7a
GEM03-ff0ecaa2,Trenord,GEM03,GEM03-ff0ecaa2
GEM04-c737e003,Trenord,GEM04,GEM04-c737e003
GEM05-487bbc9f,Trenord,GEM05,GEM05-487bbc9f
GEM06-98555bf8,Trenord,GEM06,GEM06-98555bf8
GEM08-60d7025b,Trenord,GEM08,GEM08-60d7025b
GEM10-ad1ae50d,Trenord,GEM10,GEM10-ad1ae50d
GEM11-357fcac0,Trenord,GEM11,GEM11-357fcac0
GEM12-e2b3a040,Trenord,GEM12,GEM12-e2b3a040
GEM14-7961ebd3,Trenord,GEM14,GEM14-7961ebd3
GEMP6-b6cebd38,Trenord,GEMP6,GEMP6-b6cebd38
GEP03-f1c75e2a,Trenord,GEP03,GEP03-f1c75e2a
GEP07-b2d8b577,Trenord,GEP07,GEP07-b2d8b577
GEP09-2fc1fe77,Trenord,GEP09,GEP09-2fc1fe77
GEP10-cbe68ac9,Trenord,GEP10,GEP10-cbe68ac9
GEP11-822685f4,Trenord,GEP11,GEP11-822685f4
GEP13-8bb8d74e,Trenord,GEP13,GEP13-8bb8d74e
GEP14-da57d4d3,Trenord,GEP14,GEP14-da57d4d3
GEPO3-6280c26b,Trenord,GEPO3,GEPO3-6280c26b
GEPO7-45ee76e1,Trenord,GEPO7,GEPO7-45ee76e1
GEPO9-5ac68c61,Trenord,GEPO9,GEPO9-5ac68c61
GEVO1-36d41d51,Trenord,GEVO1,GEVO1-36d41d51
GEVO2-2acceb79,Trenord,GEVO2,GEVO2-2acceb79
GEVO3-ae0fbb81,Trenord,GEVO3,GEVO3-ae0fbb81
GEVO4-74cdca0f,Trenord,GEVO4,GEVO4-74cdca0f
GEVO6-8bd77b5b,Trenord,GEVO6,GEVO6-8bd77b5b
GEVO8-56ce443b,Trenord,GEVO8,GEVO8-56ce443b
GEVO9-f195f37c,Trenord,GEVO9,GEVO9-f195f37c
L631D-58900eae,Trenord,L631D,L631D-58900eae
L633D-602d1268,Trenord,L633D,L633D-602d1268
L635D-3a8e0025,Trenord,L635D,L635D-3a8e0025
L637D-92ddb8a1,Trenord,L637D,L637D-92ddb8a1
L637G-526e7bde,Trenord,L637G,L637G-526e7bde
L639D-2adf3b25,Trenord,L639D,L639D-2adf3b25
L641D-57928952,Trenord,L641D,L641D-57928952
L651D-2f7c57de,Trenord,L651D,L651D-2f7c57de
L652D-8d01e241,Trenord,L652D,L652D-8d01e241
L652E-52ba780a,Trenord,L652E,L652E-52ba780a
L653D-040c7cb9,Trenord,L653D,L653D-040c7cb9
L653E-9fe71d6e,Trenord,L653E,L653E-9fe71d6e
L657D-54e37d2d,Trenord,L657D,L657D-54e37d2d
L658D-d9c3b6dd,Trenord,L658D,L658D-d9c3b6dd
L659D-e2d0fe65,Trenord,L659D,L659D-e2d0fe65
L662D-01e42f1b,Trenord,L662D,L662D-01e42f1b
